WEO,IAMC,Unit_WEO,Unit_IAMC,Conversion,Comment
Energy-Hydrogen-Transport,Final Energy|Transportation|Hydrogen,EJ,EJ/yr,1,
Energy-Hydrogen-Water electrolysis,Secondary Energy|Hydrogen|Electricity,TWh,EJ/yr,0.0036,
Energy-Hydrogen and H2-based fuels-Electricity generation,,,,,
Energy-Hydrogen based fuels-Total energy supply,,,,,
Energy-Hydrogen: low-emissions-Hydrogen-based fuels production inputs,,,,,
Energy-Hydrogen: low-emissions-Hydrogen production inputs: offsite,,,,,
Energy-Hydrogen: low-emissions-Hydrogen production: offsite,,,,,
Energy-Kerosene-Total energy supply,,,,,
Energy-Lignite and peat-Production,,,,,
Energy-LPG and ethane-Total energy supply,,,,,
Energy-Marine-Electricity generation,,,,,
Energy-Modern bioenergy and renewable waste-Electricity generation,Secondary Energy|Electricity|Biomass,TWh,EJ/yr,0.0036,
Energy-Modern bioenergy and renewable waste-Power sector inputs,Primary Energy|Biomass|Electricity,EJ,EJ/yr,1,
Energy-Modern bioenergy: gas-Total energy supply,Final Energy|Gases|Biomass,EJ,EJ/yr,1,
Energy-Modern bioenergy: liquid-Buildings,Final Energy|Residential and Commercial|Liquids|Biomass,EJ,EJ/yr,1,
Energy-Modern bioenergy: liquid-Total energy supply,Primary Energy|Biomass,EJ,EJ/yr,1,
Energy-Modern bioenergy: liquid-Total final consumption,Final Energy|Liquids|Biomass,EJ,EJ/yr,1,
Energy-Modern bioenergy: liquid-Transport,Final Energy|Transportation|Liquids|Biomass,EJ,EJ/yr,1,
Energy-Modern bioenergy: solid-Buildings,Final Energy|Residential and Commercial|Solids|Biomass,EJ,EJ/yr,1,
Energy-Modern bioenergy: solid-Industry,,,,,
Energy-Modern bioenergy: solid-Total energy supply,Final Energy|Solids|Biomass,EJ,EJ/yr,1,
Energy-Natural gas-Buildings,Final Energy|Buildings|Gases,,,,
Energy-Natural gas-Electricity generation,Secondary Energy|Electricity|Gas,TWh,EJ/yr,0.0036,
Energy-Natural gas-International bunkers,Final Energy|Bunkers|Gases,EJ,EJ/yr,1,
Energy-Natural gas-Production,,,,,
Energy-Natural gas-Total energy supply,,,,,
Energy-Natural gas-Total final consumption,,,,,
Energy-Natural gas-Transport,,,,,
Energy-Natural gas liquids-Production,,,,,
Energy-Natural gas: unabated-Electricity generation,Secondary Energy|Electricity|Gas|w/o CCS,TWh,EJ/yr,0.0036,
Energy-Natural gas: unabated-Industry,,,,,
Energy-Natural gas: unabated-Power sector inputs,Primary Energy|Gas|Electricity,EJ,EJ/yr,1,
Energy-Natural gas: unabated-Total energy supply,Primary Energy|Gas,EJ,EJ/yr,1,
Energy-Natural gas: with CCUS-Electricity generation,Secondary Energy|Electricity|Gas|w/ CCS,TWh,EJ/yr,0.0036,
Energy-Natural gas: with CCUS-Industry,,,,,
Energy-Natural gas: with CCUS-Power sector inputs,Primary Energy|Gas|Electricity|w/ CCS,EJ,EJ/yr,1,
Energy-Natural gas: with CCUS-Total energy supply,,,,,
Energy-Nuclear-Electricity generation,Secondary Energy|Electricity|Nuclear,TWh,EJ/yr,0.0036,
Energy-Nuclear-Power sector inputs,,,,,
Energy-Nuclear-Total energy supply,Primary Energy|Nuclear,EJ,EJ/yr,0.33,
Energy-Oil-Buildings,Final Energy|Residential and Commercial|Liquids|Oil,EJ,EJ/yr,1,
Energy-Oil-Electricity generation,,,,,
Energy-Oil-Industry,Final Energy|Industry|Liquids|Oil,EJ,EJ/yr,1,
Energy-Oil-International bunkers,Final Energy|Bunkers|Liquids,EJ,EJ/yr,1,
Energy-Oil-Power sector inputs,,,,,
Energy-Oil-Processing gains,,,,,
Energy-Oil-Production,,,,,
Energy-Oil-Supply,,,,,
Energy-Oil-Total energy supply,,,,,
Energy-Oil-Total final consumption,Primary Energy|Oil,EJ,EJ/yr,1,
